Lemma,APD
despicio,0.4973118
animus,0.49724165
afficio,0.49720764
incendo,0.49718508
quamlibet,0.4971717
onus,0.49716568
aureus,0.49708715
laedo,0.49705696
recupero,0.49705088
exquiro,0.4970111
perago,0.49698177
intellectus,0.49694532
ualeo,0.49693966
domina,0.49687192
numquid,0.49681196
occurro,0.49675775
subsequor,0.49673802
effero,0.49673247
satio,0.4967194
arca,0.49671122
simulo,0.49663714
adfero,0.49660736
casso,0.49657428
commoueo,0.4965412
operio,0.49649897
resisto,0.49648088
salio,0.4964767
decipio,0.49646288
copulo,0.49645054
praeparatio,0.4964422
compareo,0.49639338
constantia,0.49638185
amarus,0.49634337
misericordia,0.49634242
littera,0.49629042
libet,0.4962785
lupus,0.49622938
sterno,0.49615103
incoho,0.49607447
tempto,0.49601173
adoro,0.49595585
redeo,0.49591988
attamen,0.49591386
dimidium,0.4959054
culpo,0.4958622
aspiro,0.4958065
destino,0.49575257
existimo,0.49571687
heri,0.49570253
subsisto,0.49567854
adsero,0.49566314
motus,0.4956362
flo,0.49560425
glorior,0.4955931
narratio,0.49555516
supprimo,0.49555147
bilis,0.4955354
munus,0.4955217
