id,title,creator,date_avg,date_range_start,date_range_end,type,file
MQDQ-78,"epistulae, 5,7-8, uersus inserti",Ennodius,521,497,513,poetry,lat_0521_MQDQ-78.txt
MQDQ-79,"epistulae, 7,21-29, uersus inserti",Ennodius,521,497,513,poetry,lat_0521_MQDQ-79.txt
MQDQ-84,"Fides, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-84.txt
MQDQ-85,"Grammatica, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-85.txt
MQDQ-81,"laus uersuum, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-81.txt
MQDQ-80,"opuscula, 6, uersus inserti",Ennodius,521,497,513,poetry,lat_0521_MQDQ-80.txt
MQDQ-86,"Rhetorica, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-86.txt
MQDQ-82,"Verecundia, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-82.txt
MQDQ-347,carmen in laudem Anastasii imperatoris,Priscianus,509,503,515,poetry,lat_0550.0_MQDQ-347.txt
MQDQ-623,carminum appendix,Alcimus Auitus,493,468,518,poetry,lat_0518_MQDQ-623.txt
MQDQ-622,poematum libri,Alcimus Auitus,493,468,518,poetry,lat_0518_MQDQ-622.txt
MQDQ-94,carmina (anth. Riese),Felix,508,496,523,poetry,lat_0550.0_MQDQ-94.txt
IT-LAT0917,Porphyrii Isagoge translatio,"Boethius, Anicius Manlius Severinus",509,494,524,prose,lat_0502_IT-LAT0917.txt
MQDQ-627,consolatio Philosophiae,"Boethius, Anicius Manlius Severinus",523,523,524,poetry,lat_0524_MQDQ-627.txt
MQDQ-393,de concubitu Martis et Veneris,Reposianus,312,100,525,poetry,lat_0300.0_MQDQ-393.txt
MQDQ-122,"historia Apollonii, uersus inserti",[Auctor incertus],500,475,525,poetry,lat_0550.0_MQDQ-122.txt
MQDQ-348,carminis fragmentum,Priscianus,500,475,525,poetry,lat_0550.0_MQDQ-348.txt
MQDQ-346,perihegesis,Priscianus,500,475,525,poetry,lat_0550.0_MQDQ-346.txt
MQDQ-415,de Christi beneficiis,Rusticius Helpidius,500,475,525,poetry,lat_0550.0_MQDQ-415.txt
MQDQ-416,tristicha,Rusticius Helpidius,500,475,525,poetry,lat_0550.0_MQDQ-416.txt
MQDQ-618,uersus de calice,Remigius Remensis Episcopus,503,473,533,poetry,lat_0533_MQDQ-618.txt
IT-LAT0987,De observatione ciborum,Anthimus,522,511,533,prose,lat_0550_IT-LAT0987.txt
IT-LAT0202,Institutiones,"Iustinianus, Caesar Flavius (Imperator Iustinianus)",533,533,533,prose,lat_0533_IT-LAT0202.txt
MQDQ-611,epitaphium Hilarini,Cytherius,481,429,534,poetry,lat_0450.0_MQDQ-611.txt
MQDQ-177,carmina (anth. Riese),Luxurius,516,500,534,poetry,lat_0550.0_MQDQ-177.txt
IT-LAT0791,Chronicon,Marcellinus Comes,527,520,534,prose,lat_0550_IT-LAT0791.txt
IT-LAT0867,Codex,"Iustinianus, Caesar Flavius (Imperator Iustinianus)",531,529,534,prose,lat_0531_IT-LAT0867.txt
IT-LAT0250,De Anima,"Cassiodorus, Flavius Magnus Aurelius",540,540,540,prose,lat_0540_IT-LAT0250.txt
MQDQ-353,de actibus apostolorum,Arator,544,544,544,poetry,lat_0550.0_MQDQ-353.txt
MQDQ-621,uersus in subscritione codicis Hegesippi,Cyprianus Tolonensis Episcopus,535,524,546,poetry,lat_0525_MQDQ-621.txt
MQDQ-183,disticha de uetere nouoque Testamento,Ambrosius Mediolanensis,462,374,550,poetry,lat_0368_MQDQ-183.txt
IT-LAT1001,Excerpta Valesiana,[Auctor incertus],470,390,550,prose,lat_0450_IT-LAT1001.txt
IT-LAT0252,Orationes,"Cassiodorus, Flavius Magnus Aurelius",525,500,550,prose,lat_0535_IT-LAT0252.txt
MQDQ-42,Iohannis,Corippus,548,548,550,poetry,lat_0550.0_MQDQ-42.txt
MQDQ-351,epistula ad Florianum,Arator,557,554,550,poetry,lat_0550.0_MQDQ-351.txt
MQDQ-354,alethia,Arator,557,554,550,poetry,lat_0550.0_MQDQ-354.txt
MQDQ-355,in historiam praefatio,Arator,557,554,550,poetry,lat_0550.0_MQDQ-355.txt
MQDQ-352,epistula ad Vigilium,Arator,557,554,550,poetry,lat_0550.0_MQDQ-352.txt
IT-LAT0196,De origine actibusque Getarum,Iordanes,551,551,551,prose,lat_0550_IT-LAT0196.txt
IT-LAT0906,De summa temporum vel origine actibusque gentis Romanorum,Iordanes,551,551,551,prose,lat_0550_IT-LAT0906.txt
IT-LAT0990_6,De Trina Mersione,Martinus Bracarensis,559,556,561,prose,lat_0550_IT-LAT0990_6.txt
MQDQ-537,de satisfactione paenitentiae,Verecundus Iuncensis Episcopus,527,502,552,poetry,lat_0552_MQDQ-537.txt
MQDQ-65,elogium Asbadi,[Auctor incertus],556,556,556,poetry,lat_0550.0_MQDQ-65.txt
MQDQ-209,uersus in basilica,Martinus Bracariensis,558,558,558,poetry,lat_0579_MQDQ-209.txt
MQDQ-210,uersus in refectorio,Martinus Bracariensis,558,558,558,poetry,lat_0579_MQDQ-210.txt
IT-LAT0482,Institutiones divinarum et saecularium litterarum,"Cassiodorus, Flavius Magnus Aurelius",546,530,560,prose,lat_0562_IT-LAT0482.txt
IT-LAT0990,"Concilium Bracarense primum octo episcoporum, habitum aera DXCIX, anno tertio Ariamiri regis, die Kalendarum Maiarum.",Martinus Bracarensis,561,561,561,prose,lat_0550_IT-LAT0990.txt
MQDQ-43,panegyricus in laudem Anastasii,Corippus,565,565,566,poetry,lat_0550.0_MQDQ-43.txt
MQDQ-44,panegyricus in laudem Iustini Augusti,Corippus,566,566,566,poetry,lat_0550.0_MQDQ-44.txt
IT-LAT0990_1,"Concilium Bracarense secundum duodecim episcoporum, habitum anno secundo regis Mironis, die Kalendarum Iuniarum, aera DCX.",Martinus Bracarensis,572,572,572,prose,lat_0550_IT-LAT0990_1.txt
IT-LAT0990_9,Capitula ex orientalium patrum synodis,Martinus Bracarensis,572,572,572,prose,lat_0550_IT-LAT0990_9.txt
IT-LAT0990_2,De correctione rusticorum,Martinus Bracarensis,572,572,573,prose,lat_0550_IT-LAT0990_2.txt
IT-LAT0011,S. Benedicti Regula,Benedictus Nursianus,550,525,575,prose,lat_0524_IT-LAT0011.txt
IT-LAT0990_3,De ira,Martinus Bracarensis,572,569,575,prose,lat_0550_IT-LAT0990_3.txt
MQDQ-523,uita Martini,Venantius Fortunatus,574,573,576,poetry,lat_0601_MQDQ-523.txt
MQDQ-524,carminum libri  1,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-524.txt
